Assembly Barcode	Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_AB5254AA_AS	SAL_PA4104AA	FDA00013034	SRR7084468;ILLUMINA;Paired;500;SRX4014221;;	SAL_PA4104AA	Environment	Soil/Dust	environmental swab	2018	3			North America	United States	North Carolina						Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN09002994	SRS3235750	2018-05-01	2018-04-30	Assembled	871	412093	4788325	Salmonella enterica;100.0%	47	8477	4	SAL_AB5254AA_AS
SAL_CB6549AA_AS	SAL_RA4659AA	421576	traces-0lKQnyX;ILLUMINA;Paired;;NA;;	SAL_RA4659AA	Food	Meat	Frozen Chicken Griller	2017	9	6		Europe	United Kingdom	England		London				Salmonella Heidelberg	I				Public Health England (M. Chattaway)						2018-07-12	2019-01-14	Assembled	814	248846	5019871	Salmonella enterica;96.73%	72	77382	4	SAL_CB6549AA_AS
SAL_VA5468AA_AS	SAL_LA4045AA	RM_67	traces-0mfpBto;ILLUMINA;Paired;;NA;2147483647;144	SAL_LA4045AA	Environment	Water	River	2005				North America	United States	Georgia				34.00062	-83.50296	Heidelberg	I				M. Achtman						2017-09-14	2018-03-19	Assembled	551	694465	4878106	Salmonella enterica;92.49%	56	544	3.61	SAL_VA5468AA_AS
SAL_AB0737AA_AS	SAL_OA9676AA	sg_8326	SRR6929518;ILLUMINA;Paired;;SRX3875217;;	SAL_OA9676AA																Heidelberg	I				SCELSE, Nanyang Technological University, Singapore		PRJNA448475	SRP136968	SAMN08848567	SRS3115722	2018-04-03	2018-04-03	Assembled	457	753669	4752490	Salmonella enterica;100.0%	35	6399	4	SAL_AB0737AA_AS
SAL_NA6804AA_AS	SAL_HA3275AA	heidelberg8326	traces-0WYLHBa;ILLUMINA;Paired;;NA;2143160800;239	SAL_HA3275AA				2016																	gurjeetkohli@ntu.edu.sg						2016-11-11	2017-11-18	Assembled	450	753970	4754973	Salmonella enterica;100.0%	36	1830	3.51	SAL_NA6804AA_AS
SAL_LA7586AA_AS	SAL_GA1805AA	NVSL 4960	SRR1840575;ILLUMINA;Paired;;SRX902609;2218382096;98	SAL_GA1805AA	Poultry	Avian	Turkey	1987				North America	United States	Arizona						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367678	SRS865448	2016-06-30	2016-03-05	Assembled	447	230989	4956140	Salmonella enterica;100.0%	58	683	3.41	SAL_LA7586AA_AS
SAL_LA5657AA_AS	SAL_GA3811AA	INSP 94	SRR1060670;ILLUMINA;Paired;250;SRX399270;2223288738;99	SAL_GA3811AA	Human	Human	Homo sapiens; Human					North America	Mexico							Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367673	SRS519704	2016-07-01	2015-07-22	Assembled	440	231322	5050988	Salmonella enterica;86.65%	69	1096	3.41	SAL_LA5657AA_AS
SAL_XA3163AA_AS	SAL_MA8245AA	PNUSAS028827	SRR6330613;ILLUMINA;Paired;;SRX3430034;2071928502;201	SAL_MA8245AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08100455	SRS2721454	2017-11-30	2017-11-29	Assembled	434	412030	4764597	Salmonella enterica;100.0%	52	1286	3.61	SAL_XA3163AA_AS
SAL_LA5661AA_AS	SAL_GA3807AA	CDC B2487	SRR1060666;ILLUMINA;Paired;250;SRX399274;2070456584;98	SAL_GA3807AA	Human	Human	Homo sapiens; Human					North America	United States	North Carolina						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367679	SRS519708	2016-07-01	2015-07-22	Assembled	408	256716	5071375	Salmonella enterica;98.18%	53	1663	3.41	SAL_LA5661AA_AS
SAL_XA8157AA_AS	SAL_NA1751AA	PNUSAS025468	SRR6373534;ILLUMINA;Paired;;SRX3468381;1839026180;230	SAL_NA1751AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08161557	SRS2756074	2017-12-15	2017-12-13	Assembled	386	412096	4760319	Salmonella enterica;100.0%	49	2104	3.61	SAL_XA8157AA_AS
