freq	sample	file_path	tilename	is_pos_tile	subtype	refposition	is_kmer_freq_okay	scheme	scheme_version	qc_status	qc_message	min_kmer_freq_threshold
51	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	775920-2.2.2.2	True	2.2.2.2	775920	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
52	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	1037658-2.2.2.2.1.4	True	2.2.2.2.1.4	1037658	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	1047714-2.2.1.1.1	True	2.2.1.1.1	1047714	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
37	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2069216-2.2.2	True	2.2.2	2069216	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
52	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2154958-2.2.2.2.1.4	True	2.2.2.2.1.4	2154958	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2201150-2.2.2.2.7	True	2.2.2.2.7	2201150	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
47	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2217680-2.2.2.2.1	True	2.2.2.2.1	2217680	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2406889-2.2.2.2.1.2	True	2.2.2.2.1.2	2406889	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
44	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2438389-2.2	True	2.2	2438389	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2482056-2.2.3.1	True	2.2.3.1	2482056	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
30	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2531225-2	True	2	2531225	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	2741489-2.2.2.2.6	True	2.2.2.2.6	2741489	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
39	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3212817-2.2.2.2	True	2.2.2.2	3212817	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
41	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3324813-2.2.2.2	True	2.2.2.2	3324813	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
72	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3479768-2.2	True	2.2	3479768	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
50	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3677767-2	True	2	3677767	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
48	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3766668-2.2	True	2.2	3766668	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
79	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3785187-2.2.2.2.1.4	True	2.2.2.2.1.4	3785187	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
48	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3791096-2.2.2	True	2.2.2	3791096	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
60	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3827083-2.2.2.2.1	True	2.2.2.2.1	3827083	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
1	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	3931056-2.2.3.2.1	True	2.2.3.2.1	3931056	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
35	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	4241351-2.2	True	2.2	4241351	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
90	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	4744778-2.2	True	2.2	4744778	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
45	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative2981-2.2.3.1.4	False	2.2.3.1.4	2981	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
42	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative21097-2.2.1.1.1	False	2.2.1.1.1	21097	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
39	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative42232-2.2.2.2.2.2	False	2.2.2.2.2.2	42232	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
60	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative64709-2.1.3	False	2.1.3	64709	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
52	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative92666-1.3	False	1.3	92666	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
57	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative107801-2.2.1.2	False	2.2.1.2	107801	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
53	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative157792-2.2.1.1.1	False	2.2.1.1.1	157792	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
72	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative160366-2.2.1.2	False	2.2.1.2	160366	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
58	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative167020-2.2.2.1.1.1	False	2.2.2.1.1.1	167020	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
45	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative176708-2.2.2.2.6	False	2.2.2.2.6	176708	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
57	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative198398-2.2.2.1.1.1	False	2.2.2.1.1.1	198398	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
59	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative202001-1.1	False	1.1	202001	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
47	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative205838-2.1.1.1.1	False	2.1.1.1.1	205838	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
49	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative227831-2.2.3.2.1	False	2.2.3.2.1	227831	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
41	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative239152-2.2.2.2.2.1	False	2.2.2.2.2.1	239152	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
74	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative271435-2.2.1.1.3	False	2.2.1.1.3	271435	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
60	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative293728-2.2.1.1	False	2.2.1.1	293728	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
31	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative467662-2.2.3.1.2	False	2.2.3.1.2	467662	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
59	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative484993-2.2.2.2.1.2	False	2.2.2.2.1.2	484993	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
59	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative489687-2.2.3.2.1	False	2.2.3.2.1	489687	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
72	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative508759-2.2.2.2.1.3	False	2.2.2.2.1.3	508759	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
68	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative573259-2.2.2.2.5	False	2.2.2.2.5	573259	True	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
44	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative600350-2.1.2	False	2.1.2	600350	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
36	SRR1002850_R	/home/mgopez/hansel_test_data/SRR1002850_R1.fastq; /home/mgopez/hansel_test_data/SRR1002850_R2.fastq	negative600783-1.1	False	1.1	600783	False	heidelberg	0.5.0	FAIL	FAIL: Missing Tiles Error 1: More than 5.00% missing tiles were detected. Adequate coverage detected, this may be the wrong serovar/species for scheme: heidelberg Avg calculated tile coverage = 63.27710843373494	53.0
