ID	Aligned Bases	Reference bases	% Aligned Bases
snippy-SAL_BA1710AA_AS.scaffold	4766626	4983515	95.65
snippy-SAL_BA2742AA_AS.scaffold	4773986	4983515	95.80
snippy-SAL_BA2797AA_AS.scaffold	4704596	4983515	94.40
snippy-SAL_BA2887AA_AS.scaffold	4656046	4983515	93.43
snippy-SAL_BA2898AA_AS.scaffold	4686540	4983515	94.04
snippy-SAL_BA2984AA_AS.scaffold	4689480	4983515	94.10
snippy-SAL_BA3053AA_AS.scaffold	4693445	4983515	94.18
snippy-SAL_BA3094AA_AS.scaffold	4655482	4983515	93.42
snippy-SAL_BA3103AA_AS.scaffold	4695009	4983515	94.21
snippy-SAL_BA3116AA_AS.scaffold	4695220	4983515	94.22
snippy-SAL_BA3144AA_AS.scaffold	4749259	4983515	95.30
snippy-SAL_BA3282AA_AS.scaffold	4696837	4983515	94.25
snippy-SAL_BA3321AA_AS.scaffold	4783700	4983515	95.99
snippy-SAL_BA3402AA_AS.scaffold	4656009	4983515	93.43
snippy-SAL_BA3418AA_AS.scaffold	4696529	4983515	94.24
snippy-SAL_BA3473AA_AS.scaffold	4678964	4983515	93.89
snippy-SAL_BA3500AA_AS.scaffold	4696908	4983515	94.25
snippy-SAL_BA3601AA_AS.scaffold	4694655	4983515	94.20
snippy-SAL_BA3655AA_AS.scaffold	4739929	4983515	95.11
snippy-SAL_BA3705AA_AS.scaffold	4694780	4983515	94.21
snippy-SAL_BA3732AA_AS.scaffold	4655893	4983515	93.43
snippy-SAL_BA3988AA_AS.scaffold	4695711	4983515	94.22
snippy-SAL_BA4039AA_AS.scaffold	4696288	4983515	94.24
snippy-SAL_BA4112AA_AS.scaffold	4688208	4983515	94.07
snippy-SAL_BA4270AA_AS.scaffold	4686904	4983515	94.05
snippy-SAL_BA4327AA_AS.scaffold	4695277	4983515	94.22
snippy-SAL_BA4606AA_AS.scaffold	4634715	4983515	93.00
snippy-SAL_BA4609AA_AS.scaffold	4672305	4983515	93.76
snippy-SAL_BA4620AA_AS.scaffold	4830977	4983515	96.94
snippy-SAL_BA4972AA_AS.scaffold	4711033	4983515	94.53
snippy-SAL_BA5029AA_AS.scaffold	4717175	4983515	94.66
snippy-SAL_BA5145AA_AS.scaffold	4626169	4983515	92.83
snippy-SAL_BA5384AA_AS.scaffold	4831146	4983515	96.94
snippy-SAL_BA5394AA_AS.scaffold	4695038	4983515	94.21
snippy-SAL_BA5554AA_AS.scaffold	4693977	4983515	94.19
snippy-SAL_BA5639AA_AS.scaffold	4745410	4983515	95.22
snippy-SAL_BA5695AA_AS.scaffold	4693253	4983515	94.18
snippy-SAL_BA5699AA_AS.scaffold	4698790	4983515	94.29
snippy-SAL_BA5727AA_AS.scaffold	4776107	4983515	95.84
snippy-SAL_BA5795AA_AS.scaffold	4765748	4983515	95.63
snippy-SAL_BA8154AA_AS.scaffold	4637774	4983515	93.06
snippy-SAL_BA9231AA_AS.scaffold	4633746	4983515	92.98
snippy-SAL_BA9768AA_AS.scaffold	4620746	4983515	92.72
snippy-SAL_BA9957AA_AS.scaffold	4655681	4983515	93.42
snippy-SAL_CA0078AA_AS.scaffold	4694164	4983515	94.19
snippy-SAL_CA0104AA_AS.scaffold	4644425	4983515	93.20
snippy-SAL_CA0117AA_AS.scaffold	4693103	4983515	94.17
snippy-SAL_CA0133AA_AS.scaffold	4682304	4983515	93.96
snippy-SAL_CA0187AA_AS.scaffold	4688185	4983515	94.07
snippy-SAL_CA0210AA_AS.scaffold	4677223	4983515	93.85
snippy-SAL_CA0232AA_AS.scaffold	4697018	4983515	94.25
snippy-SAL_CA0239AA_AS.scaffold	4687446	4983515	94.06
snippy-SAL_CA0270AA_AS.scaffold	4694376	4983515	94.20
snippy-SAL_CA0272AA_AS.scaffold	4686651	4983515	94.04
snippy-SAL_CA0292AA_AS.scaffold	4685172	4983515	94.01
snippy-SAL_CA0311AA_AS.scaffold	4739970	4983515	95.11
snippy-SAL_CA0321AA_AS.scaffold	4739870	4983515	95.11
snippy-SAL_CA0351AA_AS.scaffold	4739214	4983515	95.10
snippy-SAL_CA0361AA_AS.scaffold	4739110	4983515	95.10
snippy-SAL_CA0403AA_AS.scaffold	4784716	4983515	96.01
snippy-SAL_CA0422AA_AS.scaffold	4784430	4983515	96.01
snippy-SAL_CA0432AA_AS.scaffold	4696341	4983515	94.24
snippy-SAL_CA0451AA_AS.scaffold	4695702	4983515	94.22
snippy-SAL_CA0470AA_AS.scaffold	4784754	4983515	96.01
snippy-SAL_CA0498AA_AS.scaffold	4844832	4983515	97.22
snippy-SAL_CA0508AA_AS.scaffold	4844488	4983515	97.21
snippy-SAL_CA0520AA_AS.scaffold	4837451	4983515	97.07
snippy-SAL_CA0548AA_AS.scaffold	4693966	4983515	94.19
snippy-SAL_CA0560AA_AS.scaffold	4654781	4983515	93.40
snippy-SAL_CA0592AA_AS.scaffold	4767115	4983515	95.66
snippy-SAL_CA0614AA_AS.scaffold	4693127	4983515	94.17
snippy-SAL_CA0635AA_AS.scaffold	4704395	4983515	94.40
snippy-SAL_CA0675AA_AS.scaffold	4630099	4983515	92.91
snippy-SAL_CA0683AA_AS.scaffold	4789107	4983515	96.10
snippy-SAL_CA0693AA_AS.scaffold	4694332	4983515	94.20
snippy-SAL_CA0694AA_AS.scaffold	4771422	4983515	95.74
snippy-SAL_CA0715AA_AS.scaffold	4694652	4983515	94.20
snippy-SAL_CA0717AA_AS.scaffold	4694338	4983515	94.20
snippy-SAL_CA0725AA_AS.scaffold	4772127	4983515	95.76
snippy-SAL_CA0741AA_AS.scaffold	4694630	4983515	94.20
snippy-SAL_CA0744AA_AS.scaffold	4793934	4983515	96.20
snippy-SAL_CA0750AA_AS.scaffold	4652421	4983515	93.36
snippy-SAL_CA0755AA_AS.scaffold	4837701	4983515	97.07
snippy-SAL_CA0760AA_AS.scaffold	4655075	4983515	93.41
snippy-SAL_CA0770AA_AS.scaffold	4777695	4983515	95.87
snippy-SAL_CA0779AA_AS.scaffold	4695028	4983515	94.21
snippy-SAL_CA0784AA_AS.scaffold	4777724	4983515	95.87
snippy-SAL_CA0790AA_AS.scaffold	4668589	4983515	93.68
snippy-SAL_CA0794AA_AS.scaffold	4831729	4983515	96.95
snippy-SAL_CA0801AA_AS.scaffold	4694853	4983515	94.21
snippy-SAL_CA0812AA_AS.scaffold	4695581	4983515	94.22
snippy-SAL_CA0822AA_AS.scaffold	4691974	4983515	94.15
snippy-SAL_CA0832AA_AS.scaffold	4618273	4983515	92.67
snippy-SAL_CA0834AA_AS.scaffold	4768515	4983515	95.69
snippy-SAL_CA0841AA_AS.scaffold	4672319	4983515	93.76
snippy-SAL_CA0844AA_AS.scaffold	4704481	4983515	94.40
snippy-SAL_CA0850AA_AS.scaffold	4611816	4983515	92.54
snippy-SAL_CA0860AA_AS.scaffold	4605940	4983515	92.42
snippy-SAL_CA0868AA_AS.scaffold	4467175	4983515	89.64
snippy-SAL_CA0871AA_AS.scaffold	4703221	4983515	94.38
snippy-SAL_CA0876AA_AS.scaffold	4627224	4983515	92.85
snippy-SAL_CA0877AA_AS.scaffold	4596858	4983515	92.24
snippy-SAL_CA0883AA_AS.scaffold	4535457	4983515	91.01
snippy-SAL_CA0887AA_AS.scaffold	4771234	4983515	95.74
snippy-SAL_CA0892AA_AS.scaffold	4631989	4983515	92.95
snippy-SAL_CA0901AA_AS.scaffold	4668145	4983515	93.67
snippy-SAL_CA0905AA_AS.scaffold	4771120	4983515	95.74
snippy-SAL_CA0909AA_AS.scaffold	4691812	4983515	94.15
snippy-SAL_CA0918AA_AS.scaffold	4655782	4983515	93.42
snippy-SAL_CA0923AA_AS.scaffold	4655357	4983515	93.42
snippy-SAL_CA0929AA_AS.scaffold	4782841	4983515	95.97
snippy-SAL_CA0938AA_AS.scaffold	4655262	4983515	93.41
snippy-SAL_CA0941AA_AS.scaffold	4644262	4983515	93.19
snippy-SAL_CA0946AA_AS.scaffold	4692947	4983515	94.17
snippy-SAL_CA0955AA_AS.scaffold	4694517	4983515	94.20
snippy-SAL_CA0957AA_AS.scaffold	4594966	4983515	92.20
snippy-SAL_CA0964AA_AS.scaffold	4694396	4983515	94.20
snippy-SAL_CA0966AA_AS.scaffold	4648823	4983515	93.28
snippy-SAL_CA0976AA_AS.scaffold	4694585	4983515	94.20
snippy-SAL_CA0983AA_AS.scaffold	4695789	4983515	94.23
snippy-SAL_CA0984AA_AS.scaffold	4694593	4983515	94.20
snippy-SAL_CA0992AA_AS.scaffold	4694608	4983515	94.20
snippy-SAL_CA0995AA_AS.scaffold	4671196	4983515	93.73
snippy-SAL_CA1001AA_AS.scaffold	4694199	4983515	94.19
snippy-SAL_CA1003AA_AS.scaffold	4662197	4983515	93.55
snippy-SAL_CA1011AA_AS.scaffold	4750976	4983515	95.33
snippy-SAL_CA1019AA_AS.scaffold	4671632	4983515	93.74
snippy-SAL_CA1021AA_AS.scaffold	4786646	4983515	96.05
snippy-SAL_CA1030AA_AS.scaffold	4782424	4983515	95.96
snippy-SAL_CA1047AA_AS.scaffold	4652766	4983515	93.36
snippy-SAL_CA1049AA_AS.scaffold	4694995	4983515	94.21
snippy-SAL_CA1056AA_AS.scaffold	4696060	4983515	94.23
snippy-SAL_CA1059AA_AS.scaffold	4697940	4983515	94.27
snippy-SAL_CA1075AA_AS.scaffold	4637752	4983515	93.06
snippy-SAL_CA1077AA_AS.scaffold	4696808	4983515	94.25
snippy-SAL_CA1086AA_AS.scaffold	4685917	4983515	94.03
snippy-SAL_CA1096AA_AS.scaffold	4774532	4983515	95.81
snippy-SAL_CA1103AA_AS.scaffold	4694235	4983515	94.20
snippy-SAL_CA1106AA_AS.scaffold	4769742	4983515	95.71
snippy-SAL_CA1115AA_AS.scaffold	4681026	4983515	93.93
snippy-SAL_CA1123AA_AS.scaffold	4636113	4983515	93.03
snippy-SAL_CA1126AA_AS.scaffold	4692120	4983515	94.15
snippy-SAL_CA1134AA_AS.scaffold	4685731	4983515	94.02
snippy-SAL_CA1143AA_AS.scaffold	4791701	4983515	96.15
snippy-SAL_CA1160AA_AS.scaffold	4697693	4983515	94.26
snippy-SAL_CA1173AA_AS.scaffold	4601899	4983515	92.34
