[#-
Group1 category: group Group1: B
Group2 category: group Group2: !B---
Name	GroupOne (+)	GroupOne (-)	GroupTwo (+)	GroupTwo (-)	pValue	Ratio
3250699	1	0	0	14	1.0	1.0
5290604	1	0	0	14	1.0	1.0
4418117	1	0	0	14	1.0	1.0
364322	1	0	0	14	1.0	1.0
3398803	1	0	0	14	1.0	1.0
3604966	1	0	0	14	1.0	1.0
2567882	1	0	0	14	1.0	1.0
4684019	1	0	0	14	1.0	1.0
2955506	1	0	0	14	1.0	1.0
3419702	1	0	0	14	1.0	1.0
1496226	1	0	0	14	1.0	1.0
2559591	1	0	0	14	1.0	1.0
3140633	1	0	0	14	1.0	1.0
2768247	1	0	0	14	1.0	1.0
4379045	1	0	0	14	1.0	1.0
2156738	1	0	0	14	1.0	1.0
2289357	1	0	0	14	1.0	1.0
4110802	1	0	0	14	1.0	1.0
1727771	1	0	0	14	1.0	1.0
4752943	1	0	0	14	1.0	1.0
3142042	1	0	0	14	1.0	1.0
3086113	1	0	0	14	1.0	1.0
143738	1	0	0	14	1.0	1.0
1533220	1	0	0	14	1.0	1.0
2460211	1	0	0	14	1.0	1.0
3105393	1	0	0	14	1.0	1.0
4321497	1	0	0	14	1.0	1.0
3553431	1	0	0	14	1.0	1.0
2393249	1	0	0	14	1.0	1.0
4270650	1	0	0	14	1.0	1.0
5146398	1	0	0	14	1.0	1.0
4668949	1	0	0	14	1.0	1.0
1534896	1	0	0	14	1.0	1.0
2097378	1	0	0	14	1.0	1.0
2813837	1	0	0	14	1.0	1.0
3160936	1	0	0	14	1.0	1.0
4557300	1	0	0	14	1.0	1.0
4314871	1	0	0	14	1.0	1.0
2757054	1	0	0	14	1.0	1.0
1827536	1	0	0	14	1.0	1.0
4458676	1	0	0	14	1.0	1.0
2832559	1	0	0	14	1.0	1.0
714299	1	0	0	14	1.0	1.0
1309739	1	0	0	14	1.0	1.0
1504792	1	0	0	14	1.0	1.0
742087	1	0	0	14	1.0	1.0
2293088	1	0	0	14	1.0	1.0
1850945	1	0	0	14	1.0	1.0
2475626	1	0	0	14	1.0	1.0
225418	1	0	0	14	1.0	1.0
2427328	1	0	0	14	1.0	1.0
678607	1	0	0	14	1.0	1.0
4054405	1	0	0	14	1.0	1.0
1844768	1	0	0	14	1.0	1.0
1895289	1	0	0	14	1.0	1.0
785280	1	0	0	14	1.0	1.0
4517638	1	0	0	14	1.0	1.0
2294588	1	0	0	14	1.0	1.0
3266618	1	0	0	14	1.0	1.0
2813882	1	0	0	14	1.0	1.0
3373105	1	0	0	14	1.0	1.0
2812922	1	0	0	14	1.0	1.0
2794666	1	0	0	14	1.0	1.0
2368467	1	0	0	14	1.0	1.0
4376493	1	0	0	14	1.0	1.0
174228	1	0	0	14	1.0	1.0
3569823	1	0	0	14	1.0	1.0
713463	1	0	0	14	1.0	1.0
3268847	1	0	0	14	1.0	1.0
5090686	1	0	0	14	1.0	1.0
2492838	1	0	0	14	1.0	1.0
1714953	1	0	0	14	1.0	1.0
2793308	1	0	0	14	1.0	1.0
2803771	1	0	0	14	1.0	1.0
3085945	1	0	0	14	1.0	1.0
2417262	1	0	0	14	1.0	1.0
4558679	1	0	0	14	1.0	1.0
2793458	1	0	0	14	1.0	1.0
1738951	1	0	0	14	1.0	1.0
3525980	1	0	0	14	1.0	1.0
775984	1	0	0	14	1.0	1.0
4864727	1	0	0	14	1.0	1.0
2116420	1	0	0	14	1.0	1.0
3964284	1	0	0	14	1.0	1.0
3933367	1	0	0	14	1.0	1.0
4424998	1	0	0	14	1.0	1.0
2393894	1	0	0	14	1.0	1.0
3086188	1	0	0	14	1.0	1.0
3605002	1	0	0	14	1.0	1.0
217121	1	0	0	14	1.0	1.0
888992	1	0	0	14	1.0	1.0
3312764	1	0	0	14	1.0	1.0
5307593	1	0	0	14	1.0	1.0
183172	1	0	0	14	1.0	1.0
1038240	1	0	0	14	1.0	1.0
4437415	1	0	0	14	1.0	1.0
992321	1	0	0	14	1.0	1.0
2761271	1	0	0	14	1.0	1.0
3232466	1	0	0	14	1.0	1.0
5014163	1	0	0	14	1.0	1.0
3293557	1	0	0	14	1.0	1.0
390185	1	0	0	14	1.0	1.0
1473753	1	0	0	14	1.0	1.0
5030262	1	0	0	14	1.0	1.0
3032640	1	0	0	14	1.0	1.0
770143	1	0	0	14	1.0	1.0
3435814	1	0	0	14	1.0	1.0
3842975	1	0	0	14	1.0	1.0
67036	1	0	0	14	1.0	1.0
4646905	1	0	0	14	1.0	1.0
3082063	1	0	0	14	1.0	1.0
815626	1	0	0	14	1.0	1.0
4937391	1	0	0	14	1.0	1.0
5027374	1	0	0	14	1.0	1.0
2157283	1	0	0	14	1.0	1.0
4327389	1	0	0	14	1.0	1.0
712752	1	0	0	14	1.0	1.0
777919	1	0	0	14	1.0	1.0
2796185	1	0	0	14	1.0	1.0
4268967	1	0	0	14	1.0	1.0
5345252	1	0	0	14	1.0	1.0
3341733	1	0	0	14	1.0	1.0
3402038	1	0	0	14	1.0	1.0
4257594	1	0	0	14	1.0	1.0
4102470	1	0	0	14	1.0	1.0
3667886	1	0	0	14	1.0	1.0
4944216	1	0	0	14	1.0	1.0
3655735	1	0	0	14	1.0	1.0
4801018	1	0	0	14	1.0	1.0
2463092	1	0	0	14	1.0	1.0
3080858	1	0	0	14	1.0	1.0
3265170	1	0	0	14	1.0	1.0
2805171	1	0	0	14	1.0	1.0
2771982	1	0	0	14	1.0	1.0
3986064	1	0	0	14	1.0	1.0
5169555	1	0	0	14	1.0	1.0
3787058	1	0	0	14	1.0	1.0
5247976	1	0	0	14	1.0	1.0
4694739	1	0	0	14	1.0	1.0
1911404	1	0	0	14	1.0	1.0
3277890	1	0	0	14	1.0	1.0
188876	1	0	0	14	1.0	1.0
703585	1	0	0	14	1.0	1.0
532510	1	0	0	14	1.0	1.0
2290456	1	0	0	14	1.0	1.0
166942	1	0	0	14	1.0	1.0
3269440	1	0	0	14	1.0	1.0
458140	1	0	0	14	1.0	1.0
1039720	1	0	0	14	1.0	1.0
2508885	1	0	0	14	1.0	1.0
1040614	1	0	0	14	1.0	1.0
4482741	1	0	0	14	1.0	1.0
4304562	1	0	0	14	1.0	1.0
2579940	1	0	0	14	1.0	1.0
3673425	1	0	0	14	1.0	1.0
2804015	1	0	0	14	1.0	1.0
4885106	1	0	0	14	1.0	1.0
3224065	1	0	0	14	1.0	1.0
4747400	1	0	0	14	1.0	1.0
3370647	1	0	0	14	1.0	1.0
4312886	1	0	0	14	1.0	1.0
3618699	1	0	0	14	1.0	1.0
575160	1	0	0	14	1.0	1.0
433334	1	0	0	14	1.0	1.0
3566581	1	0	0	14	1.0	1.0
2059310	1	0	0	14	1.0	1.0
4169921	1	0	0	14	1.0	1.0
4041906	1	0	0	14	1.0	1.0
1753233	1	0	0	14	1.0	1.0
293028	1	0	0	14	1.0	1.0
3605118	1	0	0	14	1.0	1.0
2358886	1	0	0	14	1.0	1.0
3931376	1	0	0	14	1.0	1.0
5125803	1	0	0	14	1.0	1.0
3885857	1	0	0	14	1.0	1.0
3339554	1	0	0	14	1.0	1.0
2258885	1	0	0	14	1.0	1.0
4444934	1	0	0	14	1.0	1.0
1045262	1	0	0	14	1.0	1.0
5241134	1	0	0	14	1.0	1.0
5001125	1	0	0	14	1.0	1.0
2584632	1	0	0	14	1.0	1.0
3596058	1	0	0	14	1.0	1.0
3413285	1	0	0	14	1.0	1.0
777793	1	0	0	14	1.0	1.0
5481231	1	0	0	14	1.0	1.0
1489774	1	0	0	14	1.0	1.0
3445628	1	0	0	14	1.0	1.0
1318917	1	0	0	14	1.0	1.0
712446	1	0	0	14	1.0	1.0
4630571	1	0	0	14	1.0	1.0
3841831	1	0	0	14	1.0	1.0
430216	1	0	0	14	1.0	1.0
532891	1	0	0	14	1.0	1.0
4944519	1	0	0	14	1.0	1.0
2958835	1	0	0	14	1.0	1.0
2067184	1	0	0	14	1.0	1.0
3931071	1	0	0	14	1.0	1.0
2094313	1	0	0	14	1.0	1.0
2349703	1	0	0	14	1.0	1.0
2437545	1	0	0	14	1.0	1.0
5152852	1	0	0	14	1.0	1.0
3835951	1	0	0	14	1.0	1.0
2451615	1	0	0	14	1.0	1.0
2827360	1	0	0	14	1.0	1.0
1716568	1	0	0	14	1.0	1.0
2337197	1	0	0	14	1.0	1.0
1038363	1	0	0	14	1.0	1.0
5015128	1	0	0	14	1.0	1.0
287216	1	0	0	14	1.0	1.0
4879004	1	0	0	14	1.0	1.0
141699	1	0	0	14	1.0	1.0
5291690	1	0	0	14	1.0	1.0
3010907	1	0	0	14	1.0	1.0
5289181	1	0	0	14	1.0	1.0
4718439	1	0	0	14	1.0	1.0
4362117	1	0	0	14	1.0	1.0
1534126	1	0	0	14	1.0	1.0
3775338	1	0	0	14	1.0	1.0
4994806	1	0	0	14	1.0	1.0
4255668	1	0	0	14	1.0	1.0
164294	1	0	0	14	1.0	1.0
1043880	1	0	0	14	1.0	1.0
3428067	1	0	0	14	1.0	1.0
2814281	1	0	0	14	1.0	1.0
3421943	1	0	0	14	1.0	1.0
3771950	1	0	0	14	1.0	1.0
3056390	1	0	0	14	1.0	1.0
2482053	1	0	0	14	1.0	1.0
2428383	1	0	0	14	1.0	1.0
3373567	1	0	0	14	1.0	1.0
4010100	1	0	0	14	1.0	1.0
4202196	1	0	0	14	1.0	1.0
286592	1	0	0	14	1.0	1.0
4706469	1	0	0	14	1.0	1.0
3988307	1	0	0	14	1.0	1.0
1706455	1	0	0	14	1.0	1.0
5111754	1	0	0	14	1.0	1.0
2357421	1	0	0	14	1.0	1.0
5411887	1	0	0	14	1.0	1.0
1533343	1	0	0	14	1.0	1.0
1090927	1	0	0	14	1.0	1.0
3144493	1	0	0	14	1.0	1.0
5340574	1	0	0	14	1.0	1.0
5275704	1	0	0	14	1.0	1.0
2805575	1	0	0	14	1.0	1.0
950464	1	0	0	14	1.0	1.0
3549560	1	0	0	14	1.0	1.0
2058890	1	0	0	14	1.0	1.0
5331013	1	0	0	14	1.0	1.0
4823667	1	0	0	14	1.0	1.0
488174	1	0	0	14	1.0	1.0
205719	1	0	0	14	1.0	1.0
4868598	1	0	0	14	1.0	1.0
3580534	1	0	0	14	1.0	1.0
2805225	1	0	0	14	1.0	1.0
4250469	1	0	0	14	1.0	1.0
4749169	1	0	0	14	1.0	1.0
4448813	1	0	0	14	1.0	1.0
2522737	1	0	0	14	1.0	1.0
4125257	1	0	0	14	1.0	1.0
