sample	scheme	scheme_version	subtype	all_subtypes	tiles_matching_subtype	are_subtypes_consistent	inconsistent_subtypes	n_tiles_matching_all	n_tiles_matching_all_expected	n_tiles_matching_positive	n_tiles_matching_positive_expected	n_tiles_matching_subtype	n_tiles_matching_subtype_expected	file_path	qc_status	qc_message
SAL_FA0564AA_AS	heidelberg	0.5.0	2.2.1.2	2; 2.2; 2.2.1; 2.2.1.2	4581051-2.2.1.2; 107801-2.2.1.2; 160366-2.2.1.2; 2877590-2.2.1.2	True		202	202	14	14	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_FA0564AA_AS.scaffold.fasta	PASS	
SAL_CA1699AA_AS	heidelberg	0.5.0	2.2.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1	21097-2.2.1.1.1; 157792-2.2.1.1.1; 1047714-2.2.1.1.1; 944885-2.2.1.1.1	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1699AA_AS.scaffold.fasta	PASS	
SAL_EA5117AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	2801759-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 3062689-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5117AA_AS.scaffold.fasta	PASS	
SAL_CA2216AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	2045923-2.1.3; 4282538-2.1.3; 2963935-2.1.3; 64709-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2216AA_AS.scaffold.fasta	PASS	
SAL_CA2325AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	4211912-2.2.1.1.1.1; 1983064-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2325AA_AS.scaffold.fasta	PASS	
SAL_EA5306AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5306AA_AS.scaffold.fasta	PASS	
SAL_EA9052AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 198398-2.2.2.1.1.1; 167020-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9052AA_AS.scaffold.fasta	PASS	
SAL_EA4768AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	3264474-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4768AA_AS.scaffold.fasta	PASS	
SAL_CA5095AA_AS	heidelberg	0.5.0	2.2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.1	2606626-2.2.2.2.1.1; 1603329-2.2.2.2.1.1; 3373069-2.2.2.2.1.1	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5095AA_AS.scaffold.fasta	PASS	
SAL_EA9594AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	3012157-2.2.2.2.3; 2805778-2.2.2.2.3; 2778422-2.2.2.2.3; 3819645-2.2.2.2.3; 2693425-2.2.2.2.3; 2561007-2.2.2.2.3; 4525936-2.2.2.2.3; 4540735-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9594AA_AS.scaffold.fasta	PASS	
